DateTime_Full,DateTime_Short,Level1,Level2,Level3,FlowIn,FlowOut,Storage,Release,Spillway,Gate
11/12/2025 12:00,12/11/2025 12:00,428.97,429,427,10.46,4,4,0,0,1
11/12/2025 13:00,12/11/2025 13:00,428.97,429,427,10.17,4,4,0,0,1
11/12/2025 14:00,12/11/2025 14:00,428.97,429,427,11.28,4,4,0,0,1
11/12/2025 15:00,12/11/2025 15:00,428.94,429,427,13.87,39.7,4,35.7,0,1
11/12/2025 16:00,12/11/2025 16:00,428.9,429,427,13.96,51.4,4,47.4,0,1
11/12/2025 17:00,12/11/2025 17:00,428.87,429,427,14.84,52,4,48,0,1
11/12/2025 18:00,12/11/2025 18:00,428.84,429,427,14.62,52,4,48,0,1
11/12/2025 19:00,12/11/2025 19:00,428.81,429,427,15.77,46.6,4,42.6,0,1
11/12/2025 20:00,12/11/2025 20:00,428.82,429,427,16.41,6.8,4,2.8,0,1
11/12/2025 21:00,12/11/2025 21:00,428.8,429,427,18.39,40.4,4,36.4,0,1
11/12/2025 22:00,12/11/2025 22:00,428.78,429,427,22.06,35.47,4,31.47,0,1
11/12/2025 23:00,12/11/2025 23:00,428.84,429,427,47.59,4,4,0,0,1
11/13/2025 0:00,13/11 00:00,428.9,429,427,45.33,4,4,0,0,1
11/13/2025 1:00,13/11 01:00,428.93,429,427,42.14,4,4,0,0,1
11/13/2025 2:00,13/11 02:00,428.94,429,427,22.25,4,4,0,0,1
11/13/2025 3:00,13/11 03:00,428.94,429,427,17.36,4,4,0,0,1
11/13/2025 4:00,13/11 04:00,428.95,429,427,14.78,4,4,0,0,1
11/13/2025 5:00,13/11 05:00,428.95,429,427,12.95,4,4,0,0,1
11/13/2025 6:00,13/11 06:00,428.96,429,427,10.68,6.45,4,2.45,0,1
11/13/2025 7:00,13/11 07:00,428.95,429,427,11.79,17.65,4,13.65,0,1
11/13/2025 8:00,13/11 08:00,428.96,429,427,12.61,4,4,0,0,1
11/13/2025 9:00,13/11 09:00,428.96,429,427,10.47,4,4,0,0,1
11/13/2025 10:00,13/11 10:00,428.97,429,427,12.34,4,4,0,0,1
11/13/2025 11:00,13/11 11:00,428.97,429,427,10.72,4,4,0,0,1
11/13/2025 12:00,13/11 12:00,428.98,429,427,12.61,4,4,0,0,1
11/13/2025 13:00,13/11 13:00,428.98,429,427,10.84,4,4,0,0,1
11/13/2025 14:00,13/11 14:00,428.98,429,427,8.67,4,4,0,0,1
11/13/2025 15:00,13/11 15:00,428.98,429,427,9.6,9.6,4,5.6,0,1
11/13/2025 16:00,13/11 16:00,428.97,429,427,10.99,21.6,4,17.6,0,1
